
go to room 2, go to room 3, go to room 4



tasks: [
  {'task': 'goto', 'entity': {'type': 'room', 'super_type': 'room', 'id': 2}},
  {'task': 'goto', 'entity': {'type': 'room', 'super_type': 'room', 'id': 3}},
  {'task': 'goto', 'entity': {'type': 'room', 'super_type': 'room', 'id': 4}},
]

constraints: [
]



actions: [
  {'type': 'goto', 'pose': {'x': 5.5, 'y': 5.0}, 'costs': 7.071067810058594, 'execution_mode': 'autonomous', 'entity': {'entity_type': 'door_connection', 'entity_super_type': 'Connection', 'id': 1, 'parent_id': 1}},
  {'type': 'traverse', 'pose': {'x': 5.5, 'y': 3.0}, 'costs': 20.0, 'execution_mode': 'teleop', 'entity': {'entity_type': 'door_connection', 'entity_super_type': 'Connection', 'id': 1, 'parent_id': 2}},
  {'type': 'goto', 'pose': {'x': 7.0, 'y': 3.0}, 'costs': 1.5, 'execution_mode': 'autonomous', 'entity': {'entity_type': 'room', 'entity_super_type': 'room', 'id': 2, 'parent_id': -1}},
  {'type': 'goto', 'pose': {'x': 5.5, 'y': 3.0}, 'costs': 1.5, 'execution_mode': 'autonomous', 'entity': {'entity_type': 'door_connection', 'entity_super_type': 'Connection', 'id': 1, 'parent_id': 2}},
  {'type': 'traverse', 'pose': {'x': 5.5, 'y': 5.0}, 'costs': 20.0, 'execution_mode': 'teleop', 'entity': {'entity_type': 'door_connection', 'entity_super_type': 'Connection', 'id': 1, 'parent_id': 1}},
  {'type': 'goto', 'pose': {'x': 9.0, 'y': 6.5}, 'costs': 3.8078866004943848, 'execution_mode': 'autonomous', 'entity': {'entity_type': 'Connection', 'entity_super_type': 'Connection', 'id': 0, 'parent_id': 1}},
  {'type': 'traverse', 'pose': {'x': 11.0, 'y': 6.5}, 'costs': 0.0, 'execution_mode': 'autonomous', 'entity': {'entity_type': 'Connection', 'entity_super_type': 'Connection', 'id': 0, 'parent_id': 3}},
  {'type': 'goto', 'pose': {'x': 16.0, 'y': 6.0}, 'costs': 5.024937629699707, 'execution_mode': 'autonomous', 'entity': {'entity_type': 'room', 'entity_super_type': 'room', 'id': 3, 'parent_id': -1}},
  {'type': 'goto', 'pose': {'x': 15.5, 'y': 7.0}, 'costs': 1.1180340051651, 'execution_mode': 'autonomous', 'entity': {'entity_type': 'door_connection', 'entity_super_type': 'Connection', 'id': 3, 'parent_id': 3}},
  {'type': 'traverse', 'pose': {'x': 15.5, 'y': 9.0}, 'costs': 20.0, 'execution_mode': 'teleop', 'entity': {'entity_type': 'door_connection', 'entity_super_type': 'Connection', 'id': 3, 'parent_id': 4}},
  {'type': 'goto', 'pose': {'x': 15.5, 'y': 10.5}, 'costs': 1.5, 'execution_mode': 'autonomous', 'entity': {'entity_type': 'room', 'entity_super_type': 'room', 'id': 4, 'parent_id': -1}},
]

